sampleID	f_Atopobiaceae	g_Enterorhabdus	g_Parvibacter	f_Eggerthellaceae;g_uncultured	g_Bacteroides	g_Odoribacter	g_Muribaculum	f_Muribaculaceae;g_uncultured Bacteroidales bacterium	f_Muribaculaceae;g_uncultured bacterium	f_Muribaculaceae	g_Alloprevotella	g_Prevotellaceae UCG-001	g_Alistipes	g_Rikenellaceae RC9 gut group	g_Parabacteroides	o_Gastranaerophilales;f_uncultured bacterium;g_uncultured bacterium	g_Mucispirillum	g_Bacillus	g_Listeria	g_Staphylococcus	g_Enterococcus	g_Lactobacillus	g_Streptococcus	g_Christensenellaceae R-7 group	f_Christensenellaceae;g_uncultured	g_Clostridium sensu stricto 1	f_Clostridiales vadinBB60 group;g_uncultured bacterium	g_Defluviitaleaceae UCG-011	g_Anaerofustis	g_Anaerovorax	g_Family XIII AD3011 group	g_[Eubacterium] brachy group	g_[Eubacterium] nodatum group	f_Lachnospiraceae;g_A2	f_Lachnospiraceae;g_ASF356	g_Acetatifactor	g_Blautia	f_Lachnospiraceae;g_GCA-900066575	g_Lachnoclostridium	g_Lachnospiraceae FCS020 group	g_Lachnospiraceae NK4A136 group	g_Lachnospiraceae UCG-006	g_Marvinbryantia	g_Roseburia	g_Tyzzerella	g_[Eubacterium] xylanophilum group	f_Lachnospiraceae;g_uncultured	f_Lachnospiraceae	g_Peptococcus	f_Peptococcaceae;g_uncultured	g_Romboutsia	f_Peptostreptococcaceae	g_Anaerotruncus	g_Angelakisella	g_Butyricicoccus	g_Candidatus Soleaferrea	f_Ruminococcaceae;g_GCA-900066225	g_Harryflintia	g_Intestinimonas	g_Oscillibacter	g_Ruminiclostridium	g_Ruminiclostridium 1	g_Ruminiclostridium 5	g_Ruminiclostridium 9	g_Ruminococcaceae NK4A214 group	g_Ruminococcaceae UCG-003	g_Ruminococcaceae UCG-004	g_Ruminococcaceae UCG-009	g_Ruminococcaceae UCG-010	g_Ruminococcaceae UCG-013	g_Ruminococcaceae UCG-014	f_Ruminococcaceae;g_UBA1819	g_[Eubacterium] coprostanoligenes group	f_Ruminococcaceae;g_uncultured	f_Ruminococcaceae	g_Dubosiella	g_Erysipelatoclostridium	g_Faecalibaculum	g_Turicibacter	f_Erysipelotrichaceae;g_uncultured	f_Erysipelotrichaceae;g_uncultured bacterium	f_Erysipelotrichaceae	g_Candidatus Saccharimonas	g_Azospirillum sp. 47_25	o_Rhodospirillales;f_uncultured;g_unidentified rumen bacterium RF32	g_Bilophila	g_Desulfovibrio	f_Desulfovibrionaceae;g_uncultured	g_Parasutterella	g_Escherichia-Shigella	f_Enterobacteriaceae	g_Pseudomonas	g_uncultured Lachnospiraceae bacterium	o_Mollicutes RF39;f_uncultured bacterium;g_uncultured bacterium	o_Mollicutes RF39;f_unidentified;g_unidentified	o_Mollicutes RF39	g_Akkermansia	k_Bacteria
299-7-2h	0	23	0	2	209	38	10	8	452	143	405	1	542	87	286	2	19	0	0	0	0	126	6	3	16	0	5	5	0	3	3	0	2	0	0	0	200	26	8	0	73	1	56	8	8	6	0	213	1	10	205	0	5	0	2	7	5	6	4	26	23	0	34	31	0	5	9	9	1	0	9	5	79	3	81	0	4	215	0	0	0	1	0	15	0	1	0	285	11	0	0	0	0	8	0	0	0	0
314-7-1h	0	16	0	0	102	47	38	5	352	32	397	0	416	130	283	0	88	0	0	0	0	109	9	0	9	0	1	2	1	2	0	0	8	0	1	4	140	31	47	3	126	3	36	12	9	8	0	270	1	9	86	0	20	0	0	19	12	0	9	45	34	0	27	22	0	1	6	5	4	0	0	0	74	7	122	0	3	265	0	0	0	0	0	3	0	0	1	559	13	0	0	0	0	10	0	1	0	0
314-7-2h	0	31	0	0	112	61	57	15	490	67	486	0	582	165	323	0	35	0	0	0	0	106	5	2	20	0	7	9	0	1	4	2	3	0	0	0	131	17	24	3	64	2	50	0	17	7	2	176	3	8	46	0	10	0	0	30	20	0	5	38	34	0	30	25	5	6	4	12	7	0	1	0	126	0	107	0	7	227	0	0	0	0	0	9	0	0	0	248	4	0	0	0	0	7	0	0	0	0
261-7-1h	0	11	0	0	224	38	25	5	568	34	215	0	592	123	235	15	10	0	0	0	0	79	9	0	10	0	0	3	0	0	0	0	0	0	0	2	240	21	34	0	194	6	82	7	14	14	15	290	0	12	27	0	20	0	0	5	13	0	21	60	40	0	25	23	0	0	8	10	0	0	6	0	61	0	168	0	0	27	0	0	4	0	2	2	2	3	0	438	1	0	0	0	0	2	0	0	0	0
261-7-3h	0	40	0	0	215	60	39	3	686	51	202	0	718	169	269	60	14	0	0	6	0	75	6	1	11	0	0	8	0	3	2	0	2	0	0	2	116	16	27	4	65	2	137	0	16	22	7	171	0	6	61	0	8	0	0	13	4	0	3	63	23	0	27	23	3	0	6	5	8	0	10	2	160	0	77	0	0	118	0	0	0	0	0	6	0	0	0	217	4	0	0	0	0	22	0	1	0	0
277-7-1h	0	30	0	0	396	52	32	5	487	61	246	0	510	68	207	0	11	0	0	0	0	119	14	0	6	0	0	3	0	0	0	0	2	0	0	5	245	16	35	0	153	0	88	7	16	21	0	269	1	4	177	0	21	0	0	15	1	1	13	29	23	0	42	26	0	0	8	8	2	0	8	2	69	0	152	0	0	78	0	0	0	0	9	5	1	0	0	291	0	0	0	0	0	5	0	0	0	0
277-7-2h	0	25	0	0	327	54	58	3	503	69	392	0	518	71	246	8	8	0	0	0	0	56	15	0	7	0	0	3	0	1	0	1	1	0	0	5	239	9	38	0	106	2	65	2	26	13	0	190	0	11	153	0	20	0	1	18	11	0	6	39	23	0	30	56	1	0	9	8	1	0	7	1	91	0	147	0	0	56	0	0	2	0	4	4	0	2	0	326	0	0	0	0	0	7	0	0	0	0
304-7-1h	0	36	4	0	210	132	21	8	511	221	74	0	497	164	274	11	13	0	0	11	0	18	14	1	13	0	1	3	0	2	3	1	0	0	0	0	268	18	29	1	85	3	91	17	19	4	11	278	5	13	125	0	6	1	3	2	2	3	11	61	23	0	31	27	0	0	9	9	6	0	8	0	81	4	121	0	2	69	1	0	0	1	15	4	2	3	0	364	0	0	0	0	0	16	0	0	0	0
304-7-2h	0	37	1	0	160	132	22	7	447	200	80	0	534	139	283	18	20	0	0	2	0	41	9	1	13	0	5	5	0	2	3	0	0	0	0	0	246	19	45	1	95	4	54	3	11	2	2	224	0	16	194	0	4	0	0	4	5	0	16	74	27	3	41	25	0	3	8	10	11	0	11	0	110	1	119	0	2	142	0	0	0	0	9	2	0	0	0	373	1	0	0	0	3	14	0	0	0	0
304-7-3h	0	31	4	0	127	130	22	11	448	200	70	0	584	164	245	14	14	0	0	1	0	86	5	2	14	0	3	10	0	5	0	0	0	0	0	6	227	5	9	0	116	8	69	2	15	13	11	225	3	0	211	0	13	0	0	2	3	0	16	80	34	2	32	17	3	6	6	10	5	0	3	0	108	4	83	0	0	234	0	0	0	1	6	10	0	0	0	298	3	0	0	0	1	5	0	0	0	0
317-7-1h	0	25	0	0	259	113	24	9	348	55	236	0	545	110	327	1	77	0	0	1	0	373	5	3	9	0	7	6	0	0	0	0	1	0	0	10	154	9	30	0	112	2	81	4	14	49	0	222	1	22	69	0	18	0	0	5	6	0	7	38	37	0	21	21	1	0	19	8	8	0	25	2	55	7	130	0	8	0	0	0	4	0	10	5	0	1	0	336	0	0	0	0	2	8	0	0	0	0
317-7-2h	0	42	0	0	314	121	35	3	524	74	303	0	654	99	333	1	13	0	0	4	0	229	20	0	9	0	1	3	0	5	4	0	6	0	0	5	158	8	17	1	77	2	109	3	13	42	2	173	4	6	82	0	7	0	1	4	6	2	4	25	31	0	16	30	0	1	10	2	3	0	14	0	122	0	109	0	3	0	0	0	3	0	4	12	0	2	0	171	0	0	0	0	1	13	0	0	0	0
241-7-1h	6	22	0	1	137	52	12	4	338	137	418	0	284	111	30	0	80	0	0	0	0	97	5	0	2	0	5	0	0	0	0	0	0	0	0	11	126	15	11	0	31	0	9	8	13	0	13	194	6	6	143	3	7	4	0	2	11	0	2	41	36	0	12	49	0	0	6	5	2	0	2	5	63	2	65	284	0	737	0	0	0	0	1	5	0	2	1	402	18	0	0	0	0	0	0	1	0	0
241-7-3h	12	40	2	1	209	52	15	9	384	168	448	0	471	156	37	0	7	0	0	0	0	65	6	0	0	0	16	0	0	0	0	0	3	1	0	3	80	4	6	0	13	0	13	1	4	0	2	102	0	5	154	1	0	0	1	3	4	0	0	29	13	0	15	13	0	0	5	4	10	0	1	0	180	0	22	340	0	761	0	0	0	0	0	14	0	0	0	172	14	0	0	0	0	0	0	4	0	0
262-7-1h	39	6	0	0	139	32	28	7	358	84	343	0	310	143	17	0	75	0	0	0	1	199	3	0	0	0	8	0	0	0	0	0	0	0	0	14	207	4	0	0	11	1	10	9	7	0	8	224	0	16	55	0	5	6	0	0	14	0	11	46	27	0	11	36	0	0	4	5	1	0	2	0	89	5	48	360	0	702	0	0	0	0	4	2	0	0	0	352	5	0	0	0	0	0	0	2	0	0
262-7-2h	23	19	0	0	170	69	15	14	366	100	521	0	371	198	12	0	5	0	0	0	0	140	4	0	0	0	11	0	0	1	0	0	0	1	0	4	296	0	0	0	18	0	11	0	10	0	0	167	1	0	134	4	0	0	2	0	15	0	7	12	11	2	4	16	3	0	0	2	3	0	0	1	45	7	26	277	0	777	0	0	0	0	3	10	0	0	0	168	18	0	0	0	0	0	0	1	0	0
262-7-3h	28	11	4	2	153	58	7	5	382	120	556	0	427	219	20	0	10	0	0	0	0	163	2	0	0	0	10	0	0	0	3	0	0	0	0	4	194	3	0	0	13	0	14	6	6	0	0	144	0	0	112	0	3	0	0	0	3	0	0	10	15	0	2	15	0	0	1	0	7	0	0	0	73	0	23	301	0	852	0	0	0	0	0	18	0	0	0	92	4	0	0	0	0	0	0	0	0	0
278-7-1h	5	18	0	0	118	97	7	12	291	99	433	0	415	197	15	0	56	0	0	0	1	60	5	1	3	0	28	0	0	0	0	0	0	0	0	14	179	0	11	0	12	0	10	3	17	3	0	193	1	4	146	4	5	0	2	0	10	0	6	22	47	0	9	41	0	0	0	2	3	0	11	1	81	0	53	260	0	729	0	0	0	0	0	11	0	0	0	337	0	0	0	0	0	0	0	7	0	0
305-7-1h	12	23	3	2	180	58	16	9	369	133	464	0	427	168	28	0	42	0	0	0	0	43	3	0	3	0	17	0	0	2	0	3	0	0	0	11	182	7	8	0	22	2	8	5	10	1	3	222	2	8	158	0	10	11	0	0	10	3	6	35	54	0	11	42	1	0	6	2	7	0	1	3	76	8	53	228	0	598	0	0	0	0	0	13	1	6	0	251	2	0	0	0	0	0	0	3	0	0
305-7-2h	17	25	0	3	182	40	11	1	311	172	606	0	383	200	40	0	7	0	0	0	1	39	3	0	2	0	14	0	0	0	0	0	0	0	0	8	186	6	0	0	10	0	0	2	4	0	1	157	0	0	280	4	2	8	0	0	0	0	0	10	12	0	3	5	0	0	1	2	7	0	11	0	90	0	23	290	0	772	0	0	0	0	0	23	6	0	0	107	0	0	0	0	0	0	0	8	0	0
305-7-3h	36	25	2	3	204	38	6	13	432	195	517	0	538	192	42	0	7	0	0	0	0	33	0	0	1	0	27	0	0	0	0	0	0	0	0	3	86	1	0	0	7	0	16	0	1	0	0	47	0	0	288	3	1	1	0	0	4	0	0	4	9	2	3	8	0	0	0	0	5	0	6	0	88	0	8	293	0	824	0	0	0	0	0	20	2	0	0	44	5	0	0	0	0	0	0	4	1	0
245-7-2h	13	19	2	0	192	79	6	8	369	131	194	1	488	175	25	38	24	0	0	0	0	195	7	1	0	12	8	0	0	2	0	0	5	0	8	0	91	0	6	0	18	0	9	2	3	1	0	149	1	3	79	0	3	0	0	0	5	0	5	11	18	0	1	1	0	0	0	1	5	0	1	1	92	2	25	299	0	632	0	0	0	0	0	16	0	0	0	105	3	0	0	0	0	0	0	0	505	0
263-7-1h	21	26	0	1	83	39	3	1	272	112	92	0	331	113	32	12	89	0	0	0	0	344	1	2	2	25	5	0	0	0	0	2	1	0	5	12	52	5	10	0	26	0	12	0	3	0	2	222	0	6	124	2	3	0	1	1	5	2	6	64	21	0	22	21	0	0	2	6	4	0	1	0	54	5	54	332	0	672	0	0	0	0	2	4	0	4	1	335	8	1	0	0	0	1	0	0	373	0
263-7-2h	46	35	0	0	51	97	6	17	234	119	77	0	296	128	21	9	16	0	0	0	0	258	0	0	0	41	4	0	0	0	0	0	0	0	2	11	87	0	8	0	30	0	5	0	5	2	3	246	0	4	282	3	3	0	0	0	0	0	0	18	18	0	0	3	0	0	0	0	0	0	2	0	27	2	45	383	0	636	0	0	0	0	0	0	0	0	8	78	8	0	0	0	0	0	0	0	721	0
263-7-3h	32	32	0	0	97	81	5	6	345	133	165	0	443	207	48	20	27	0	0	0	0	224	5	2	3	33	14	0	0	0	0	0	0	0	3	0	44	3	5	0	9	0	9	0	2	0	0	121	0	0	166	3	0	0	0	0	1	0	0	6	8	0	7	2	3	0	0	1	4	0	4	0	72	0	14	332	0	628	0	0	0	0	4	12	2	0	3	95	13	0	0	0	0	0	0	0	597	0
279-7-1h	7	14	0	0	110	90	8	4	240	138	99	0	278	218	40	0	146	0	0	0	0	34	7	2	1	15	8	0	0	0	0	0	0	0	12	7	49	7	15	0	11	0	7	0	9	0	0	318	0	4	59	0	21	0	0	0	8	2	8	57	58	0	16	42	0	0	0	3	0	0	3	3	32	23	126	276	0	628	0	0	0	0	62	0	0	6	2	436	0	0	0	0	0	0	0	0	326	0
279-7-2h	19	35	5	0	109	73	13	7	293	181	155	0	325	178	32	6	6	0	0	0	0	69	2	4	0	12	7	1	0	0	0	0	0	3	7	4	23	0	11	0	0	0	6	0	9	0	0	181	0	4	138	0	0	0	0	0	8	3	1	27	20	0	4	13	0	0	0	0	4	0	6	0	50	8	81	330	0	751	0	0	0	0	41	2	0	0	1	227	10	2	0	0	0	0	0	0	588	0
279-7-3h	20	30	3	0	97	94	14	3	231	178	95	0	338	221	37	2	19	0	0	0	0	55	3	1	0	8	9	0	0	0	1	0	0	0	3	8	39	9	9	0	13	0	6	0	16	0	0	240	0	10	128	2	8	0	0	0	14	2	5	34	35	0	10	18	0	0	0	9	2	0	4	1	49	9	98	403	0	769	0	0	0	0	23	0	0	1	2	300	3	0	0	0	0	0	0	0	354	0
306-7-1h	12	21	0	0	120	78	13	7	300	103	144	0	393	181	58	0	14	0	0	0	0	169	1	0	0	28	4	0	0	0	0	0	0	0	0	16	127	3	0	0	2	0	10	0	6	0	0	184	0	3	113	1	7	0	0	0	6	2	4	20	17	0	9	12	0	0	0	1	1	0	1	0	61	3	58	255	0	651	0	0	0	0	3	4	0	6	0	134	2	0	0	0	0	0	0	0	727	0
306-7-2h	6	29	0	0	159	68	9	10	315	131	107	3	462	196	41	2	14	0	0	0	0	118	3	0	0	32	1	1	0	0	1	0	0	0	0	4	90	3	0	0	5	0	14	0	3	2	0	108	0	1	177	3	0	0	0	2	6	2	0	5	12	0	7	0	0	0	0	0	3	0	0	0	91	2	29	305	0	624	0	0	0	0	3	5	0	0	0	127	9	0	0	0	0	0	0	0	745	0
306-7-3h	12	45	1	2	87	54	11	6	235	107	113	0	305	94	49	5	0	0	0	0	0	136	5	7	0	48	0	0	0	0	0	0	0	0	2	5	69	2	0	0	0	0	20	0	3	0	1	97	0	6	253	4	4	0	0	0	0	0	1	15	7	0	11	0	2	0	0	0	5	0	3	0	195	0	27	463	0	700	0	0	0	0	12	0	0	0	0	72	4	0	0	0	0	0	0	0	790	0
