sampleID	mouse	passage_cycle	cage	litter	diet	ZT	disrupted_clock	clock_group	colitis	genotype	genotype_group	project	timepoint	Transit_Time	Fecal_Mass	Microbiota_Excretion	Microbial_Load
600-120min	600	1	C_12	C_15	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	150min	150	0.045	16074901229	3.5722e+11
600-30min	600	1	C_12	C_15	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	150	0.1773	13954306924	78704494777
600-60min	600	1	C_12	C_15	control	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	150	0.0899	9745087400	1.08399e+11
601-30min	601	1	C_16	C_15	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.2434	52898644901	2.17332e+11
601-60min	601	1	C_16	C_15	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.0774	7273024751	93966728049
602-120min	602	1	C_3	C_15	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	150min	290	0.0261	10845744220	4.15546e+11
602-30min	602	1	C_3	C_15	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	290	0.2182	21019346360	96330643263
602-60min	602	1	C_3	C_15	control	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	290	0.1126	9005591069	79978606297
603-120min	603	1	C_8	C_15	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	150min	120	0.0248	2629096880	1.06012e+11
603-30min	603	1	C_8	C_15	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	120	0.2517	28038429202	1.11396e+11
603-60min	603	1	C_8	C_15	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	120	0.1924	13136799755	68278585005
605-120min	605	1	C_4	C_16	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	150min	120	0.0254	11511289417	4.532e+11
605-30min	605	1	C_4	C_16	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	30min	120	0.1857	9817355764	52866751556
605-60min	605	1	C_4	C_16	control	1	no	normal	yes	BALBc	IL10-/-	TRF_study	90min	120	0.1529	13005057637	85055968849
606-120min	606	1	C_7	C_16	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	150min	120	0.0466	12365975836	2.65364e+11
606-30min	606	1	C_7	C_16	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	30min	120	0.2733	39841948906	1.45781e+11
606-60min	606	1	C_7	C_16	TRF	1	no	normal	no	BALBc	IL10-/-	TRF_study	90min	120	0.1777	10329378047	58128182594
607-30min	607	1	C_14	C_16	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	30min	90	0.3142	57913922165	1.84322e+11
607-60min	607	1	C_14	C_16	TRF	1	yes	disrupted	no	BALBc	IL10-/-	TRF_study	90min	90	0.302	24224180342	80212517689
529W-120min	529W	1	C_10	C_6	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	120	0.0141	11574297819	8.20872e+11
529W-30min	529W	1	C_10	C_6	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	120	0.3701	56041662702	1.51423e+11
529W-60min	529W	1	C_10	C_6	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.1707	36332028962	2.12841e+11
547W-60min	547W	1	C_14	C_7	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.1196	5339426139	44644031263
547W-30min	547W	1	C_14	C_7	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	120	0.4079	36094818391	88489380709
547W-90min	547W	1	C_14	C_7	TRF	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	120	0.0717	NA	NA
548W-120min	548W	1	C_12	C_7	control	1	yes	disrupted	no	BALBc	WT	TRF_study	150min	210	0.0193	10310181229	5.34206e+11
548W-180min	548W	1	C_12	C_7	control	1	yes	disrupted	no	BALBc	WT	TRF_study	210min	210	0.0418	22468209633	5.37517e+11
548W-30min	548W	1	C_12	C_7	control	1	yes	disrupted	no	BALBc	WT	TRF_study	30min	210	0.2814	90554185284	3.21799e+11
548W-60min	548W	1	C_12	C_7	control	1	yes	disrupted	no	BALBc	WT	TRF_study	90min	210	0.1015	8862914683	87319356483
241-7-3h	241	7	A_7	A_1	fasting	3	no	normal	no	black6	WT	diet_study	180min	212	0.0312	5909418260	1.89404e+11
241-7-1h	241	7	A_7	A_1	fasting	3	no	normal	no	black6	WT	diet_study	60min	212	0.0667	12314090401	1.84619e+11
245-7-2h	245	7	A_8	A_2	fasting	3	no	normal	no	black6	WT	diet_study	120min	122	0.0198	2423318377	1.2239e+11
245-7-1h	245	7	A_8	A_2	fasting	3	no	normal	no	black6	WT	diet_study	60min	122	0.063	12339302647	1.95862e+11
246-7-2h	246	7	A_1	A_2	control	3	no	normal	no	black6	WT	diet_study	120min	157	0.037	10047781491	2.71562e+11
246-7-3h	246	7	A_1	A_2	control	3	no	normal	no	black6	WT	diet_study	180min	157	0.0365	10094340843	2.76557e+11
246-7-1h	246	7	A_1	A_2	control	3	no	normal	no	black6	WT	diet_study	60min	157	0.0683	17277093589	2.52959e+11
247-7-2h	247	7	A_2	A_2	control	3	no	normal	no	black6	WT	diet_study	120min	151	0.0485	19889757176	4.10098e+11
247-7-3h	247	7	A_2	A_2	control	3	no	normal	no	black6	WT	diet_study	180min	151	0.0557	23220460972	4.16884e+11
247-7-1h	247	7	A_2	A_2	control	3	no	normal	no	black6	WT	diet_study	60min	151	0.0664	23531724831	3.54393e+11
253-7-2h	253	7	A_3	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	120min	156	0.0732	51784452423	7.07438e+11
253-7-1h	253	7	A_3	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	60min	156	0.0747	39346903796	5.26732e+11
254-7-2h	254	7	A_4	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	120min	212	0.0525	20658031076	3.93486e+11
254-7-3h	254	7	A_4	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	180min	212	0.0232	17796256431	7.6708e+11
254-7-1h	254	7	A_4	A_3	high_fat	3	no	normal	no	black6	WT	diet_study	60min	212	0.0934	31919594343	3.41752e+11
255-7-2h	255	7	A_5	A_3	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	191	0.0189	3411228394	1.80488e+11
255-7-3h	255	7	A_5	A_3	high_fiber	3	no	normal	no	black6	WT	diet_study	180min	191	0.068	7874488664	1.15801e+11
255-7-1h	255	7	A_5	A_3	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	191	0.3574	25622578404	71691601578
261-7-2h	261	7	A_6	A_4	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	176	0.1055	6082347135	57652579479
261-7-3h	261	7	A_6	A_4	high_fiber	3	no	normal	no	black6	WT	diet_study	180min	176	0.0273	2518969247	92269935788
261-7-1h	261	7	A_6	A_4	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	176	0.1664	7257983610	43617689964
262-7-2h	262	7	A_7	A_4	fasting	3	no	normal	no	black6	WT	diet_study	120min	217	0.0312	8855190888	2.8382e+11
262-7-3h	262	7	A_7	A_4	fasting	3	no	normal	no	black6	WT	diet_study	180min	217	0.0094	5516154484	5.86825e+11
262-7-1h	262	7	A_7	A_4	fasting	3	no	normal	no	black6	WT	diet_study	60min	217	0.0443	10868700158	2.45343e+11
263-7-2h	263	7	A_8	A_4	fasting	3	no	normal	no	black6	WT	diet_study	120min	187	0.0387	5143078423	1.32896e+11
263-7-3h	263	7	A_8	A_4	fasting	3	no	normal	no	black6	WT	diet_study	180min	187	0.0211	13195681029	6.25388e+11
263-7-1h	263	7	A_8	A_4	fasting	3	no	normal	no	black6	WT	diet_study	60min	187	0.0498	15287146771	3.06971e+11
264-7-2h	264	7	A_1	A_4	control	3	no	normal	no	black6	WT	diet_study	120min	182	0.037	23128281909	6.25089e+11
264-7-3h	264	7	A_1	A_4	control	3	no	normal	no	black6	WT	diet_study	180min	182	0.0256	7077146561	2.76451e+11
264-7-1h	264	7	A_1	A_4	control	3	no	normal	no	black6	WT	diet_study	60min	182	0.08	16209142602	2.02614e+11
271-7-3h	271	7	A_2	A_5	control	3	no	normal	no	black6	WT	diet_study	180min	226	0.0424	12201702833	2.87776e+11
271-7-4h	271	7	A_2	A_5	control	3	no	normal	no	black6	WT	diet_study	240min	226	0.0777	7591547972	97703320103
271-7-1h	271	7	A_2	A_5	control	3	no	normal	no	black6	WT	diet_study	60min	226	0.0925	16091543853	1.73963e+11
272-7-2h	272	7	A_3	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	120min	198	0.0745	29380714171	3.94372e+11
272-7-1h	272	7	A_3	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	60min	198	0.1398	24699734412	1.76679e+11
273-7-2h	273	7	A_4	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	120min	238	0.0246	17840954662	7.25242e+11
273-7-3h	273	7	A_4	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	180min	238	0.0541	31942419347	5.90433e+11
273-7-4h	273	7	A_4	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	240min	238	0.0159	21398202144	1.3458e+12
273-7-1h	273	7	A_4	A_5	high_fat	3	no	normal	no	black6	WT	diet_study	60min	238	0.0802	50697275787	6.32136e+11
274-7-2h	274	7	A_5	A_5	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	195	0.0555	4162652546	75002748577
274-7-3h	274	7	A_5	A_5	high_fiber	3	no	normal	no	black6	WT	diet_study	180min	195	0.0851	12693450993	1.49159e+11
274-7-1h	274	7	A_5	A_5	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	195	0.1567	13401612456	85524010568
277-7-2h	277	7	A_6	A_6	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	106	0.1098	3034630612	27637801566
277-7-1h	277	7	A_6	A_6	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	106	0.1507	5120450576	33977774227
278-7-2h	278	7	A_7	A_6	fasting	3	no	normal	no	black6	WT	diet_study	120min	109	0.0122	393539800.5	32257360697
278-7-1h	278	7	A_7	A_6	fasting	3	no	normal	no	black6	WT	diet_study	60min	109	0.062	16589784885	2.67577e+11
279-7-2h	279	7	A_8	A_6	fasting	3	no	normal	no	black6	WT	diet_study	120min	162	0.0457	15024846065	3.28771e+11
279-7-3h	279	7	A_8	A_6	fasting	3	no	normal	no	black6	WT	diet_study	180min	162	0.0274	10107323333	3.6888e+11
279-7-1h	279	7	A_8	A_6	fasting	3	no	normal	no	black6	WT	diet_study	60min	162	0.0235	19191828555	8.16674e+11
280-7-1h	280	7	A_1	A_6	control	3	no	normal	no	black6	WT	diet_study	60min	217	0.0784	18742241645	2.39059e+11
280-7-2h	280	7	A_1	A_6	control	3	no	normal	no	black6	WT	diet_study	120min	217	0.0474	21678737230	4.57357e+11
281-7-1h	281	7	A_2	A_6	control	3	no	normal	no	black6	WT	diet_study	60min	196	0.1231	15243907385	1.23834e+11
281-7-2h	281	7	A_2	A_6	control	3	no	normal	no	black6	WT	diet_study	120min	196	0.0424	9542398220	2.25057e+11
281-7-3h	281	7	A_2	A_6	control	3	no	normal	no	black6	WT	diet_study	180min	196	0.0219	11667743579	5.32774e+11
286-7-1h	286	7	A_1	A_7	control	3	no	normal	no	black6	WT	diet_study	60min	182	0.0803	22999747963	2.86423e+11
286-7-2h	286	7	A_1	A_7	control	3	no	normal	no	black6	WT	diet_study	120min	182	0.0386	14282378633	3.7001e+11
286-7-3h	286	7	A_1	A_7	control	3	no	normal	no	black6	WT	diet_study	180min	182	0.014	2032249901	1.45161e+11
287-7-1h	287	7	A_2	A_7	control	3	no	normal	no	black6	WT	diet_study	60min	151	0.0741	17910603247	2.41709e+11
287-7-2h	287	7	A_2	A_7	control	3	no	normal	no	black6	WT	diet_study	120min	151	0.0304	10148488888	3.33832e+11
287-7-3h	287	7	A_2	A_7	control	3	no	normal	no	black6	WT	diet_study	180min	151	0.0111	4809830934	4.33318e+11
292-7-1h	292	7	A_3	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	60min	190	0.1128	37795519018	3.35067e+11
292-7-2h	292	7	A_3	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	120min	190	0.0225	23004372312	1.02242e+12
292-7-3h	292	7	A_3	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	180min	190	0.0448	34801190699	7.76812e+11
293-7-1h	293	7	A_4	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	60min	172	0.046	28773013268	6.255e+11
293-7-2h	293	7	A_4	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	120min	172	0.0113	5093614258	4.50762e+11
293-7-3h	293	7	A_4	A_8	high_fat	3	no	normal	no	black6	WT	diet_study	180min	172	0.0371	29647528884	7.99125e+11
299-7-1h	299	7	A_5	A_9	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	113	0.347	32771262659	94441679133
299-7-2h	299	7	A_5	A_9	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	113	0.1224	16908971449	1.38145e+11
304-7-2h	304	7	A_6	A_10	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	136	0.1681	20672174438	1.22975e+11
304-7-3h	304	7	A_6	A_10	high_fiber	3	no	normal	no	black6	WT	diet_study	180min	136	0.0424	3808155303	89814983561
304-7-1h	304	7	A_6	A_10	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	136	0.2053	18493429927	90080028870
305-7-2h	305	7	A_7	A_10	fasting	3	no	normal	no	black6	WT	diet_study	120min	150	0.0262	8993377342	3.43259e+11
305-7-3h	305	7	A_7	A_10	fasting	3	no	normal	no	black6	WT	diet_study	180min	150	0.0069	1906953753	2.7637e+11
305-7-1h	305	7	A_7	A_10	fasting	3	no	normal	no	black6	WT	diet_study	60min	150	0.0542	17391617938	3.20879e+11
306-7-2h	306	7	A_8	A_10	fasting	3	no	normal	no	black6	WT	diet_study	120min	170	0.0393	12659195827	3.22117e+11
306-7-3h	306	7	A_8	A_10	fasting	3	no	normal	no	black6	WT	diet_study	180min	170	0.0161	4509370467	2.80085e+11
306-7-1h	306	7	A_8	A_10	fasting	3	no	normal	no	black6	WT	diet_study	60min	170	0.0724	8608240085	1.18898e+11
314-7-1h	314	7	A_5	A_11	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	113	0.3493	19787898056	56650151892
314-7-2h	314	7	A_5	A_11	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	113	0.0608	9043500207	1.48742e+11
317-7-1h	317	7	A_6	A_12	high_fiber	3	no	normal	no	black6	WT	diet_study	60min	131	0.2502	16076839584	64255953573
317-7-2h	317	7	A_6	A_12	high_fiber	3	no	normal	no	black6	WT	diet_study	120min	131	0.1664	12319649659	74036356124
318-7-1h	318	7	A_3	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	60min	213	0.087	30014176231	3.44991e+11
318-7-2h	318	7	A_3	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	120min	213	0.0267	18040051198	6.75657e+11
318-7-3h	318	7	A_3	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	180min	213	0.0502	48151842639	9.592e+11
318-7-4h	318	7	A_3	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	240min	213	0.03	15733293205	5.24443e+11
319-7-1h	319	7	A_4	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	60min	237	0.0882	12974678243	1.47105e+11
319-7-3h	319	7	A_4	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	180min	237	0.0121	12312010692	1.01752e+12
319-7-4h	319	7	A_4	A_12	high_fat	3	no	normal	no	black6	WT	diet_study	240min	237	0.0139	15195328011	1.09319e+12
